Country,Code,Year,"Food supply (kcal/capita/day) (FAO, 2020)"
Sri Lanka,LKA,2016,2585
Sri Lanka,LKA,2017,2613
Sudan,SDN,2015,2438
Sudan,SDN,2016,2441
Sudan,SDN,2017,2433
Suriname,SUR,2015,2715
Suriname,SUR,2016,2702
Suriname,SUR,2017,2693
Sweden,SWE,2015,3152
Sweden,SWE,2016,3167
Sweden,SWE,2017,3219
Switzerland,CHE,2015,3460
Switzerland,CHE,2016,3341
Switzerland,CHE,2017,3413
Taiwan,TWN,2015,2975
Taiwan,TWN,2016,2954
Taiwan,TWN,2017,2976
Tajikistan,TJK,2015,2095
Tajikistan,TJK,2016,2106
Tajikistan,TJK,2017,2104
Tanzania,TZA,2015,2318
Tanzania,TZA,2016,2379
Tanzania,TZA,2017,2396
Thailand,THA,2015,2804
Thailand,THA,2016,2829
Thailand,THA,2017,2827
Timor,TLS,2015,2159
Timor,TLS,2016,2148
Timor,TLS,2017,2140
Togo,TGO,2015,2464
Togo,TGO,2016,2379
Togo,TGO,2017,2429
Trinidad and Tobago,TTO,2015,3042
Trinidad and Tobago,TTO,2016,3038
Trinidad and Tobago,TTO,2017,3043
Tunisia,TUN,2015,3500
Tunisia,TUN,2016,3489
Tunisia,TUN,2017,3467
Turkey,TUR,2015,3553
Turkey,TUR,2016,3558
Turkey,TUR,2017,3540
Turkmenistan,TKM,2015,2869
Turkmenistan,TKM,2016,2871
Turkmenistan,TKM,2017,2871
Uganda,UGA,2015,2179
Uganda,UGA,2016,2132
Uganda,UGA,2017,2144
Ukraine,UKR,2015,3037
Ukraine,UKR,2016,2999
Ukraine,UKR,2017,3035
United Arab Emirates,ARE,2015,3410
United Arab Emirates,ARE,2016,3368
United Arab Emirates,ARE,2017,3366
United Kingdom,GBR,2015,3410
United Kingdom,GBR,2016,3409
United Kingdom,GBR,2017,3428
United States,USA,2015,3731
United States,USA,2016,3747
United States,USA,2017,3766
Uruguay,URY,2015,3109
Uruguay,URY,2016,3132
Uruguay,URY,2017,3153
Uzbekistan,UZB,2015,3007
Uzbekistan,UZB,2016,2994
Uzbekistan,UZB,2017,3022
Vanuatu,VUT,2015,2683
Vanuatu,VUT,2016,2611
Vanuatu,VUT,2017,2623
Venezuela,VEN,2015,2403
