Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Burundi,Sub-Saharan Africa,2017,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,1.683024168,,39.646,70.88233872,2.173232095,,,,,,,,,
Morocco,Middle East and Northern Africa,2015,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,3402,20.31,2.761812843,0.005735006,,,,,,,,,
Comoros,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,,33.328,48.34646662,0,,,,,,,,,
Mozambique,Sub-Saharan Africa,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,2339,38.607,60.1059031,0.014282818,,,,,,,,,
Albania,Central and Eastern Europe,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,3258,12.197,0.160231475,0,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,3255,8.655,0.114434838,0.114128376,,,,,,,,,
Lesotho,Sub-Saharan Africa,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,2134,27.799,80.13936353,0.155207728,,,,,,,,,
Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,2740,20.32,3.729070375,0,,,,,,,,,
Laos,Southeastern Asia,2015,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,2942,24.71,26.46610877,0.058897153,,,,,,,,,
Mongolia,Eastern Asia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,2229,25.849,0.639813521,0.068554006,,,,,,,,,
Comoros,Sub-Saharan Africa,2016,138,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,,32.852,47.14189524,0,,,,,,,,,
Greece,Western Europe,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,3383,8.362,0.00389835,0.009468941,,,,,,,,,
Lebanon,Middle East and Northern Africa,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,2958,17.737,0.887185592,2.302123238,,,,,,,,,
Hungary,Central and Eastern Europe,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,3223,9.269,0.41300199,0,,,,,,,,,
Honduras,Latin America and Caribbean,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,2560,22.433,12.36968783,0,,,,,,,,,
Tajikistan,Central and Eastern Europe,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,2095,32.115,10.1320644,0.205393568,,,,,,,,,
Tunisia,Middle East and Northern Africa,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,3500,18.707,0.764598889,0.88669871,,,,,,,,,
Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,,,,,,,,,,,,,
Bangladesh,Southern Asia,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,2553,19.156,24.99993617,0.066298147,,,,,,,,,
