Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Lesotho,Sub-Saharan Africa,2017,139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,1.42983532,2282,27.17,75.30076372,0.205383279,,,,,,,,,
Angola,Sub-Saharan Africa,2017,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,1.614482403,2270,41.281,83.06370499,0.198565374,,,,,,,,,
Afghanistan,Southern Asia,2017,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,2000,33.211,9.99376936,5.058627103,,,,,,,,,
Botswana,Sub-Saharan Africa,2017,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,2340,25.396,27.38410418,0,,,,,,,,,
Benin,Sub-Saharan Africa,2017,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,2756,36.621,65.34983529,0.112211156,,,,,,,,,
Madagascar,Sub-Saharan Africa,2017,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,1.584612608,1903,32.897,96.05428531,0.658782158,,,,,,,,,
Haiti,Latin America and Caribbean,2017,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,1.697167635,2164,24.75,25.85767602,0,,,,,,,,,
Yemen,Middle East and Northern Africa,2017,146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,1.345600605,2063,31.04,16.87941524,55.20992287,,,,,,,,,
Syria,Middle East and Northern Africa,2015,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,,24.95,0.237059243,304.4732353,,,,,,,,,
Liberia,Sub-Saharan Africa,2017,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,2132,33.426,73.13720443,0.084698421,,,,,,,,,
Guinea,Sub-Saharan Africa,2017,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,1.552311897,2795,36.765,52.33682694,0.236886897,,,,,,,,,
Togo,Sub-Saharan Africa,2017,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,1.837229252,2429,33.55,55.5531808,0.279402811,,,,,,,,,
Rwanda,Sub-Saharan Africa,2017,151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,2215,32.062,40.60419166,0.031861917,,,,,,,,,
Syria,Middle East and Northern Africa,2016,156,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,,24.525,0.230011336,308.409636,,,,,,,,,
Tanzania,Sub-Saharan Africa,2017,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,0.621130466,2396,37.075,40.96301006,0.079669263,,,,,,,,,
Syria,Middle East and Northern Africa,2017,152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,1.061573505,,24.115,0.226668988,228.2163329,,,,,,,,,
Central African Republic,Sub-Saharan Africa,2017,155,2.693000078,0,0,0.018772686,0.270842046,0.280876487,0.056565076,2.066004753,1758,35.66,150.3084792,40.64899695,,,,,,,,,
